Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,N/A,FH 2,FH 3,Demonstrations,logistics,Crewed,Commercial satellites,Scientific satellites,Military satellites,Rideshares,Transporter,Bandwagon,Flight tests,Current,In development,Retired,Cancelled,Spacecraft,Cargo,Test vehicles,Unflown,Orbital,Atmospheric,Landing sites,Other facilities,Support,Contracts,R&D programs,Key people,Related,General,People,Vehicles,Launches by rocket type,Launches by spaceport,"Agencies, companies and facilities",Other mission lists and timelines,Version Booster,Booster landing,Date,Time
,Cape Canaveral,SES-9,"3,136 kg",LEO,"<a href=""/wiki/SKY_Perfect_JSAT"" title=""SKY Perfect JSAT"">SKY Perfect JSAT Group</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,22 December 2015,01:29
,Cape Canaveral,SpaceX CRS-8,"4,696 kg",GTO,"<a href=""/wiki/Thaicom"" title=""Thaicom"">Thaicom</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,Success,17 January 2016,18:42
,Cape Canaveral,JCSAT-14,"3,100 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/Asia_Broadcast_Satellite"" title=""Asia Broadcast Satellite"">ABS</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Failure,4 March 2016,23:35
,Cape Canaveral,Thaicom 8,"3,600 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,8 April 2016,20:43
,Cape Canaveral,ABS-2A,"2,257 kg",LEO,"<a class=""mw-redirect"" href=""/wiki/SKY_Perfect_JSAT_Group"" title=""SKY Perfect JSAT Group"">SKY Perfect JSAT Group</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,6 May 2016,05:21
,Cape Canaveral,SpaceX CRS-9,"4,600 kg",GTO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,27 May 2016,21:39
,Cape Canaveral,JCSAT-16,"9,600 kg",Polar,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,15 June 2016,14:29
,VAFB,Iridium NEXT,"2,490 kg",LEO,"<a href=""/wiki/EchoStar"" title=""EchoStar"">EchoStar</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,No attempt,18 July 2016,04:45
,KSC,SpaceX CRS-10,"5,600 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,14 August 2016,05:26
,KSC,EchoStar 23,"5,300 kg",GTO,"<a href=""/wiki/National_Reconnaissance_Office"" title=""National Reconnaissance Office"">NRO</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,14 January 2017,17:54
,KSC,SES-10,C,LEO,"<a href=""/wiki/Inmarsat"" title=""Inmarsat"">Inmarsat</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,No attempt,19 February 2017,14:39
,KSC,NROL-76,"6,070 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,16 March 2017,06:00
,KSC,Inmarsat-5 F4,"2,708 kg",LEO,"<a href=""/wiki/Bulsatcom"" title=""Bulsatcom"">Bulsatcom</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT♺[,Success,30 March 2017,22:27
,KSC,SpaceX CRS-11,"3,669 kg",GTO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,1 May 2017,11:15
,KSC,BulgariaSat-1,"9,600 kg",LEO,"<a href=""/wiki/Intelsat"" title=""Intelsat"">Intelsat</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,No attempt,15 May 2017,23:21
,VAFB,Iridium NEXT,"6,761 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,3 June 2017,21:07
,KSC,Intelsat 35e,"3,310 kg",LEO,"<a class=""mw-redirect"" href=""/wiki/National_Space_Organization"" title=""National Space Organization"">NSPO</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FTB1029.2195,Success,23 June 2017,19:10
,KSC,SpaceX CRS-12,475 kg,SSO,"<a href=""/wiki/United_States_Air_Force"" title=""United States Air Force"">USAF</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,25 June 2017,20:25
,VAFB,Formosat-5,"4,990 kg",LEO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,5 July 2017,23:38
,KSC,Boeing X-37B,"9,600 kg",Polar,"<a class=""mw-redirect"" href=""/wiki/SES_S.A."" title=""SES S.A."">SES S.A.</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4[,Success,14 August 2017,16:31
,VAFB,Iridium NEXT,"5,200 kg",GTO,"<a href=""/wiki/KT_Corporation"" title=""KT Corporation"">KT Corporation</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,24 August 2017,18:51
,KSC,SES-11,"3,500 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4[,Success,7 September 2017,14:00
,KSC,Koreasat 5A,"2,205 kg",LEO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4[,Controlled,9 October 2017,12:37
,Cape Canaveral,SpaceX CRS-13,"9,600 kg",Polar,"<a href=""/wiki/Northrop_Grumman"" title=""Northrop Grumman"">Northrop Grumman</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FTB1031.2220,Success,11 October 2017,22:53:00
,VAFB,Iridium NEXT,C,LEO,"<a class=""mw-redirect"" href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4[,Controlled,30 October 2017,19:34
,CCAFS,Zuma,"4,230 kg",GTO,"<a href=""/wiki/Hisdesat"" title=""Hisdesat"">Hisdesat</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FTB1035.2227,No attempt,15 December 2017,15:36
,CCAFS,GovSat-1,"2,150 kg",SSO,"<a href=""/wiki/Hispasat"" title=""Hispasat"">Hispasat</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FTB1036.2227,No attempt,23 December 2017,01:27
,VAFB,Paz,"6,092 kg",GTO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4[,No attempt,8 January 2018,01:00
,CCAFS,Hispasat 30W-6,"9,600 kg",Polar,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FTB1032.2245,No attempt,31 January 2018,21:25
,VAFB,Iridium NEXT,"2,647 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FTB1038.2268,Success,22 February 2018,14:17
,CCAFS,SpaceX CRS-14,362 kg,HEO,"<a href=""/wiki/Thales_Alenia_Space"" title=""Thales Alenia Space"">Thales-Alenia</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4[,Success,6 March 2018,05:33
,CCAFS,Transiting Exoplanet Survey Satellite,"3,600 kg",GTO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4B1041.2268,No attempt,30 March 2018,14:14
,KSC,Bangabandhu-1,"6,460 kg",Polar,"<a class=""mw-redirect"" href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4B1039.2292,No attempt,2 April 2018,20:30
,VAFB,Iridium NEXT,"5,384 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4[,No attempt,18 April 2018,22:51
,CCAFS,SES-12,"2,697 kg",LEO,"<a href=""/wiki/Telesat"" title=""Telesat"">Telesat</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5311B1046.1268,Success,11 May 2018,20:14
,CCAFS,SpaceX CRS-15,"7,075 kg",GTO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4B1043.2322,Success,22 May 2018,19:47
,CCAFS,Telstar 19V,"9,600 kg",Polar,"<a href=""/wiki/Telkom_Indonesia"" title=""Telkom Indonesia"">Telkom Indonesia</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4B1040.2268,Success,4 June 2018,04:45
,VAFB,Iridium NEXT,"5,800 kg",GTO,"<a href=""/wiki/Telesat"" title=""Telesat"">Telesat</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4B1045.2336,Success,29 June 2018,09:42
,CCAFS,Merah Putih,"7,060 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/Comisi%C3%B3n_Nacional_de_Actividades_Espaciales"" title=""Comisión Nacional de Actividades Espaciales"">CONAE</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,22 July 2018,05:50
,CCAFS,Telstar 18V,"3,000 kg",SSO,"<a href=""/wiki/Es%27hailSat"" title=""Es'hailSat"">Es'hailSat</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5349B1048[,Success,25 July 2018,11:39
,VAFB,SAOCOM 1A,"5,300 kg",GTO,"<a href=""/wiki/Spaceflight_Industries"" title=""Spaceflight Industries"">Spaceflight Industries</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1046.2354,Success,7 August 2018,05:18
,KSC,Es'hail 2,"~4,000 kg",SSO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5[,Failure,10 September 2018,04:45
,VAFB,SSO-A,"2,500 kg",LEO,"<a href=""/wiki/United_States_Air_Force"" title=""United States Air Force"">USAF</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1048.2364,No attempt,8 October 2018,02:22
,CCAFS,SpaceX CRS-16,"4,400 kg",MEO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1047.2268,Success,15 November 2018,20:46
,CCAFS,GPS III,"9,600 kg",Polar,"<a href=""/wiki/PT_Pasifik_Satelit_Nusantara"" title=""PT Pasifik Satelit Nusantara"">PSN</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1046.3268,Success,3 December 2018,18:34:05
,VAFB,Iridium NEXT,"4,850 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5[,Success,5 December 2018,18:16
,CCAFS,Nusantara Satu,"12,055 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5[,Success,23 December 2018,13:51
,KSC,Crew Dragon Demo-1,"2,495 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1049.2397,Success,11 January 2019,15:31
,CCAFS,SpaceX CRS-17,"13,620 kg",LEO,"<a href=""/wiki/Canadian_Space_Agency"" title=""Canadian Space Agency"">Canadian Space Agency</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1048.3399,Success,22 February 2019,01:45
,CCAFS,Starlink,"4,200 kg",SSO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5[]413,Success,2 March 2019,07:49
,VAFB,RADARSAT Constellation,"2,268 kg",LEO,"<a href=""/wiki/Spacecom"" title=""Spacecom"">Spacecom</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5[,No attempt,4 May 2019,06:48
,CCAFS,SpaceX CRS-18,"6,500 kg",GTO,"<a href=""/wiki/Spacecom"" title=""Spacecom"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1049.3434,Success,24 May 2019,02:30
,CCAFS,AMOS-17,"15,600 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1051.2420,Success,12 June 2019,14:17
,CCAFS,Starlink,"2,617 kg",LEO,"<a class=""mw-redirect"" href=""/wiki/SKY_Perfect_JSAT_Group"" title=""SKY Perfect JSAT Group"">Sky Perfect JSAT</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1056.2465,Success,25 July 2019,22:01
,CCAFS,SpaceX CRS-19,"6,956 kg",GTO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1047.3472,Success,6 August 2019,23:23
,CCAFS,JCSat-18,"15,600 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,"No attempt
",11 November 2019,14:56
,CCAFS,Starlink,"12,050 kg",Sub-orbital,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5[,Success,5 December 2019,17:29
,KSC,Crew Dragon in-flight abort test,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1056.3482,Failure,17 December 2019,00:10
,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,7 January 2020,02:19:21
,CCAFS,Starlink,"1,977 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Failure,19 January 2020,15:30
,CCAFS,SpaceX CRS-20,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,29 January 2020,14:07
,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,17 February 2020,15:05
,KSC,Starlink,"12,530 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,7 March 2020,04:50
,KSC,Crew Dragon Demo-2,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,18 March 2020,12:16
,CCAFS,Starlink,"15,410 kg",LEO,"<a href=""/wiki/United_States_Space_Force"" title=""United States Space Force"">U.S. Space Force</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,22 April 2020,19:30
,CCAFS,Starlink,"4,311 kg",MEO,"<a href=""/wiki/Republic_of_Korea_Army"" title=""Republic of Korea Army"">Republic of Korea Army</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5[,Success,30 May 2020,19:22
,CCAFS,GPS III,"5,000–6,000 kg",GTO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,4 June 2020,01:25
,CCAFS,ANASIS-II,"14,932 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,13 June 2020,09:21
,KSC,Starlink,"~15,440 kg",LEO,"<a class=""mw-redirect"" href=""/wiki/CONAE"" title=""CONAE"">CONAE</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,30 June 2020,20:10:46
,CCAFS,Starlink,"3,130 kg",SSO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1058.2544,Success,20 July 2020,21:30
,CCAFS,SAOCOM 1B,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,7 August 2020,05:12
,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1049.6544,Success,18 August 2020,14:31
,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,30 August 2020,23:18
,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/United_States_Space_Force"" title=""United States Space Force"">USSF</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1060.2563,Success,3 September 2020,12:46:14
,CCAFS,Starlink,"4,311 kg",MEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1058.3565,Success,6 October 2020,11:29:34
,CCAFS,GPS III,"~12,500 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1051.6568,Success,18 October 2020,12:25:57
,KSC,Crew-1,"1,192 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,24 October 2020,15:31:34
,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"15,600 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,5 November 2020,23:24:23
,CCAFS,Starlink,"2,972 kg",LEO,"<a href=""/wiki/Sirius_XM"" title=""Sirius XM"">Sirius XM</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5[,Success,16 November 2020,00:27
,KSC,SpaceX CRS-21,"7,000 kg",GTO,"<a href=""/wiki/National_Reconnaissance_Office"" title=""National Reconnaissance Office"">NRO</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,21 November 2020,17:17:08
,CCSFS,SXM-7,C,LEO,"<a href=""/wiki/T%C3%BCrksat_(company)"" title=""Türksat (company)"">Türksat</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5 ♺[,Success,25 November 2020,02:13
,KSC,NROL-108,"3,500 kg",GTO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5 ♺[,Success,6 December 2020,16:17:08
,CCSFS,Türksat 5A,"15,600 kg",LEO,,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5 ♺,Success,13 December 2020,17:30:00
,KSC,Starlink,"~5,000 kg",SSO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5 ♺,Success,19 December 2020,14:00:00
,CCSFS,Transporter-1,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Failure,8 January 2021,02:15
,CCSFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1051.8609,Success,20 January 2021,13:02
,CCSFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1058.5613,Success,24 January 2021,15:00
,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5 ♺[,Success,4 February 2021,06:19
,CCSFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5 ♺,Success,16 February 2021,03:59:37
,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5 ♺[,Success,4 March 2021,08:24
,CCSFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5 ♺[,Success,11 March 2021,08:13:29
,CCSFS,Starlink,"~13,000 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5 ♺,Success,14 March 2021,10:01
,KSC,Crew-2,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1060.6643,Success,24 March 2021,08:28
,CCSFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5 ♺,Success,7 April 2021,16:34
,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1061.2647,Success,23 April 2021,9:49
,CCSFS,Starlink,"~14,000 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1060.7652,Success,29 April 2021,03:44
,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1049.9655,Success,4 May 2021,19:01
,CCSFS,Starlink,"3,328 kg",LEO,"<a href=""/wiki/Sirius_XM"" title=""Sirius XM"">Sirius XM</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1051.10657,Success,9 May 2021,06:42
,KSC,SpaceX CRS-22,"7,000 kg",GTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1058.8660,,15 May 2021,22:56
,CCSFS,SXM-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1063.2665,,26 May 2021,18:59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1067.1668,,3 June 2021,17:29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,,6 June 2021,04:26
